Type,Title,Channel,Views / Status,Duration,VideoID
Live,🔴 LIVE | ชนข่าว CPI 11 ก.ย. 2026 | ทองคำตีงตัว เช็คชัวร์ข่าวคืนนี้รอชี้ชะตา!!!,Uhas Trader,2.5K watching,LIVE,
Standard Video,คุณต้องรู้จักชื่อเค้าแหละ | เล่า Leonhard Euler #1,แมทเล่าให้ฟัง | MLHF,100K views,23:20,HNzlrGyueWA
Standard Video,🎃Don't give up yet…🍂(nostalgic cozy Minecraft music) Autumn Ambience |Dark Academia Study Ambience|,Surreal Cat,60K views,1:30:07,S-Nq64fKFJc
Standard Video,ไฟในเกม = ภาพ GIF,Techcast,60K views,7:14,NF8nQsIGwog
Standard Video,【4K / Genshin Impact MMD】 Hu Tao / 大喜,Gaci,1.2M views,3:02,bQyAGJ6n14U
Standard Video,ไต้หวัน ฉีกตำราประเทศพัฒนาแล้วโตช้า ล่าสุด GDP โตเฉียด 15% | ลงทุนแมนจะเล่าให้ฟัง,ลงทุนแมน,363 views,7:37,6ybnZhXjIgo
Standard Video,"The Cab - Angel With A Shotgun (ทูตสรรค์ที่มาพร้อมลูกซอง) Thai.ver | Covered by Aino Wuwu",Aino Wuwu,9.2K views,3:45,GOyPBSa282w
Standard Video,อาจารย์คณิต ท้าชิงนักกีฬาโป๊กเกอร์ | VERSUS เวอร์สัส EP.3,alien เอเลี่ยน,40K views,24:17,94LSKEqG59k
Standard Video,Your Order Has Arrived,Chill Core,27K views,1:21:12,vbi3zELzEyU
Standard Video,DECO*27 - HIBANA feat. Hatsune Miku,DECO*27,85M views,3:23,hxSg2Ioz3LM
Standard Video,THIS ARCH HYPRLAND SETUP WILL BLOW YOUR MIND 🤯 (Ft. CAELESTIA DOTS),Ksk Royal,233K views,14:02,_LdYU8CiTh0
Standard Video,โจรกลัวสิ่งนี้! ตั้งค่า iPhone แบบนี้ ขโมยไปก็ทำอะไรไม่ได้ (อัปเดตล่าสุด),Readyplanet,144K views,12:05,dETcvkhssxY
Standard Video,pov: you just woke up in an abandoned church,vertige.,23K views,1:00:01,OAW3FhFHJv0
Standard Video,"【古琴Guqin】《何以歌》Nameless Song - 《魔道祖师》主题曲 ""Mo Dao Zu Shi"" Theme Song - Cover 南一先生 - Performer 东韵",Davis Chinese Orchestra,5.7M views,4:44,EkP-I2D0Pcw
Standard Video,Silicon Valley ส่งสัญญาณเตือนภัย AI หวั่นก้าวไกลจนมนุษย์ควบคุมไม่อยู่ | THE STANDARD WEALTH,THE STANDARD WEALTH,2.7K views,7:20,
Standard Video,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 | A Season of Youth Loss & Memory - Norwegian Wood,moumouplaylist,167K views,1:04:19,tPlp525cN8w
Standard Video,just turn it on and make something.,hijaq.,7.7M views,2:02,Itn9lI0VK0U
Standard Video,THANK'S VALVE NOW THIS ITEM AND HERO IS META AGAIN,Rizpol,619 views,21:44,Jx89lAWEJVQ
Standard Video,supїdo,фрози,14M views,1:51,1DpqxwT__5A
Standard Video,you can be king again,moontheories,204M views,3:58,VNdHd1asf9s
Standard Video,"""พหุจักรวาลพิศวง"" เรื่องราวสุดยิ่งใหญ่ของ Magic the Gathering | The Codex",The Codex,179K views,35:15,k1sKTR8x0D4
Standard Video,Tiny Little Adiantum,Shibayan Records,23M views,5:51,rB7XFQgJHBI
Standard Video,a home for tired minds.,Yuh Baek,302K views,45:56,CtGC9G7CkdM
Standard Video,ㅤㅤㅤ ㅤㅤㅤㅤㅤㅤㅤ ㅤㅤㅤㅤ•ﻌ•,nekori,8.6K views,1:05:30,-2qXl-c9eqA
Standard Video,Yunomi - ジェリーフィッシュ (feat. ローラーガール),Waifu Wednesdays,28M views,3:56,LtrB_8CejUA
Live,🔴 อัดรึยัง LIVE 2026 #91,NottO NBK.,219 watching,LIVE,eoydecZQR70
