Video Title,Channel / Artist Name
ก่อนลา (Live Session),วสันต์17
Small Fragile Hearts,Victor Lundberg
Serotonin,girl in red
#หาทำGang - ปีอะไรนะ ?,#หาทำGang
คนข้างล่าง (feat. Ben Chalatit),Boyd Kosiyabong
แม่กำปอง (feat. เขียนไขและวานิช),T_047
ปรารถนาสิ่งใดฤๅ,COCKTAIL
Lullaby of the New Moon (I): Somnias a Luna,HOYO-MiX
จากฉันถึงเธอ - COCKTAIL Feat. พงษ์สิทธิ์ คำภีร์ |Official Audio|,GeneLab
"A Moment (from ""Project Hail Mary"")",Daniel Pemberton
"'City of Stars' (Duet ft. Ryan Gosling, Emma Stone) - La La Land Original Motion Picture Soundtrack",Interscope Records
สุดทาง,PHUMIN
ถ้าเธอรักใครคนหนึ่ง OST.บุพเพสันนิวาส 2,Ink Waruntorn
Love to Death,Mother Mother
Sign of the Times,Harry Styles
blue,yung kai
So Easy (To Fall In Love),Olivia Dean
ใครงามเลิศในปฐพี,PHUMIN & Warin
ดาว (Cover version),Pause
หากันจนเจอ,Kob Saovanit & Kob Songsit
หล่นหายระหว่างทาง,PHUMIN
dead girl in the pool.,girl in red
ที่ว่าง (Empty Space),Pause
Okinawa,92914
กอดความเจ็บช้ำ,Safeplanet
คำที่เกินจะกล่าว (Live Session),วสันต์17
La Vie en Rose,Aoi Teshima
นายหญิง,PHUMIN
ถอด,Warin
โกหก,Tattoo Colour
ความลับ,Pause
Chan Yang Yoo,Kanakwanjaii
ทนได้ทุกที (ซนซน 40 ปี GMM GRAMMY),TAITOSMITH
แล้วเราจะได้รักกันไหม Ost.รอยฝันตะวันเดือด | ณเดชน์ คูกิมิยะ & ญาญ่า อุรัสยา | Official MV,Naded Kugimiya
a thousand years,Christina Perri
Lung Gep Kong Gao,Pan Ar-rom
ฟังเพลงนี้ซ้ำไปเป็นล้านรอบ,WARIN
เพลงของหัวใจ,ToR+ Saksit
รักเธอทั้งหมดของหัวใจ (For My Brother),Pause
เพียงแค่ใจเรารักกัน,Viyada Komalakul Na Nakorn
เก็บไว้ในฝัน - ไทยตรง [ Official Mv ],Gru Record
A Moment,Zweed n' Roll
เราไม่ใช่ส่วนเกิน,PHUMIN
เศษ (Remain) (feat. Earth Patravee),tinn
